id,odai_photo_file_name,text,is_laugh,img_path,fold,pred_0,pred_1
skahna8il,tam9barblp.jpg,「分からない？2時の方向138km先で肉を焼いているわ」,1,../bokete/train/tam9barblp.jpg,0,-0.043077085,0.05228471
5pt9m5zxm,fs2nilheob.jpg,蜂の巣の幼虫,0,../bokete/train/fs2nilheob.jpg,0,0.16774721,-0.4427941
umstqopho,u8dpdxu4hw.jpg,ボランティアで行う町の廃品集めに参加し、「不要な物あります？」と聞いたら「お前じゃね？」と言われたので処理場に向かう。,1,../bokete/train/u8dpdxu4hw.jpg,0,-0.75389796,0.98073405
scfsr5x8x,cvn3qnr7e3.jpg,おまえじゃねぇーよ、おまえじゃねぇーって。,1,../bokete/train/cvn3qnr7e3.jpg,0,0.15372856,-0.28775442
ghxfvnegw,s1tz7cbzkz.jpg,アフリカに送ったダスキンが間違った使い方をされていた,1,../bokete/train/s1tz7cbzkz.jpg,0,-0.41751543,0.3749888
ltzjrvawg,7h47biu7vz.jpg,主人公にありがちな、優勢を導く独特のポーズ,0,../bokete/train/7h47biu7vz.jpg,0,-0.0020693215,-0.0023607356
wte3pdtzo,styzda2uls.jpg,[あなたと文通できて嬉しいです。私はどちらかというと広瀬すずに似てるっていわれます・・・],1,../bokete/train/styzda2uls.jpg,0,0.11279685,-0.1996386
ratqd4akh,arwkltmb2i.jpg,母と兄の権力の下で必死に赤ん坊と姉を守る父,1,../bokete/train/arwkltmb2i.jpg,0,-0.2087969,0.3178502
r3bcizcjd,adeqfcatqb.jpg,ゴールを決めたのに誰も来てくれない。,0,../bokete/train/adeqfcatqb.jpg,0,0.047578342,-0.27206516
myn6cqb5u,poqbdfdbi4.jpg,いや、マイクに寄せたわけじゃない,0,../bokete/train/poqbdfdbi4.jpg,0,0.114063874,-0.28242046
jj6bk1xor,awjtz9rexd.jpg,「いやじゃいやじゃ〜！あの盆栽欲しい〜！」,1,../bokete/train/awjtz9rexd.jpg,0,0.10175296,-0.27335098
5nn025a04,k6bzfdi87l.jpg,これはチャイ.ナのシャンハイ。ガスとゲスの街だ。,0,../bokete/train/k6bzfdi87l.jpg,0,0.1293741,-0.31476957
6hy9u8o31,6dbkwdn9l2.jpg,迂回すりゃいいのに「このさきにすすむには ながぐつ がひつようだ！」と出て進めない,1,../bokete/train/6dbkwdn9l2.jpg,0,-0.49104238,0.5440311
n3duu6hff,z1asa7b876.jpg,左の頬を出せとか言うんじゃ無かった天使が見えるもうだめ,0,../bokete/train/z1asa7b876.jpg,0,-0.068431064,0.076186225
bd4qao14u,btrxcxx7f5.jpg,屋根もエアコンもない、これ買うのやめときません？,0,../bokete/train/btrxcxx7f5.jpg,0,0.06091393,-0.28805554
e0exqiraw,fcy8qjmyux.jpg,「これ試食していいの？」『どうぞ！』（ｶﾞﾌﾞｯ）「美味しい！どこのスイカなんだい？」『武漢です！』,0,../bokete/train/fcy8qjmyux.jpg,0,-0.34989467,0.39959848
mxllx759l,u7u22pcw4l.jpg,判決…／無…／期懲役！,1,../bokete/train/u7u22pcw4l.jpg,0,0.13607334,-0.18970034
9kpuz1pdn,s9ui5lv1ck.jpg,7回裏の金足農応援団,0,../bokete/train/s9ui5lv1ck.jpg,0,0.16104305,-0.29012138
8luxptp2x,b674a867qj.jpg,マイク細いから喋らないもん！,0,../bokete/train/b674a867qj.jpg,0,0.11868753,-0.37126023
99hpxorcy,ioc9h8bpsj.jpg,女の子は父親に似るらしい,0,../bokete/train/ioc9h8bpsj.jpg,0,0.09507297,-0.46519393
7hqxhkgvz,2wm97k2jna.jpg,バレないように、音を立てずに柿の種を食う,1,../bokete/train/2wm97k2jna.jpg,0,0.034113057,-0.04919059
r9pnegbws,hqcvrqturx.jpg,落ちてきた天井を支え、「くっ！ここは俺に任せろ、なぁに後で追い付くさ。帰ったら一杯おごれよな」ごっこ,1,../bokete/train/hqcvrqturx.jpg,0,-0.49283484,0.49576244
r9py1w3uo,7pzochzg4v.jpg,どこにも出口がない,0,../bokete/train/7pzochzg4v.jpg,0,-0.102494664,0.04684841
dsws86dfs,v1yqykrmah.jpg,ササササササボロー！Yo!Yo!Yo!ササササササボロー！Yo!Yo!,0,../bokete/train/v1yqykrmah.jpg,0,0.13784645,-0.2763938
wdrjfpspi,x8q8tywrd8.jpg,『てっきり還付金くれるかと思っていたらパンプキンでな』「で、もらってきた…と」『うんそーだよぉ』,1,../bokete/train/x8q8tywrd8.jpg,0,-0.2386241,0.32169437
gsa5wa7py,ifts6vpv0v.jpg,サバゲーだと頼もしい経理課長,0,../bokete/train/ifts6vpv0v.jpg,0,0.01480681,-0.16091938
razcmwcg4,dtazpfv4bw.jpg,…でもその本マグロお高いんでしょ？,0,../bokete/train/dtazpfv4bw.jpg,0,0.13413776,-0.13401838
rat6yt9vx,a0k9k8iygm.jpg,奥さんはね、大木さんて言うんだほんとはね。だけどちっちゃいから自分の事小木さんって言うんだよ。腰振るんだね、岡田。,0,../bokete/train/a0k9k8iygm.jpg,0,-0.17488116,0.24365163
8buyjcv8y,47wfycv7br.jpg,パパは何で洗濯機に放り込まれたの？「朝帰りだ！お前は？」おねしょ！「さぁ最後の脱水だ！耐え抜くぞ！」おー！,1,../bokete/train/47wfycv7br.jpg,0,-0.3450204,0.354438
jb8ntx8hp,4ohxk2rmky.jpg,みかんを食べようとしていたが忘れたまま一週間,0,../bokete/train/4ohxk2rmky.jpg,0,-0.19660893,0.13865542
w0lhmiekc,6kevkrifc7.jpg,キムラ蛙,0,../bokete/train/6kevkrifc7.jpg,0,0.14879848,-0.40621194
76dk7dvlp,w9bne3ycal.jpg,「ラーメンは嫌いだ…あれは服が汚れる」,0,../bokete/train/w9bne3ycal.jpg,0,0.16391976,-0.2880874
r0b0kfbiv,apntwkqh6b.jpg,ダメっす！あれはベタに蜃気楼っす！,0,../bokete/train/apntwkqh6b.jpg,0,0.1506531,-0.36438623
wzelyfxmr,5ua3mhqthb.jpg,一人,0,../bokete/train/5ua3mhqthb.jpg,0,0.13951203,-0.5264981
elhzcrxko,qlihbrahkd.jpg,祖父が遺影用の写真を撮影しようとすると猛スピードで回避するので、まだ先が長そうな感じがして安心した,1,../bokete/train/qlihbrahkd.jpg,0,-0.48784238,0.70310694
oijat7xjn,iemctq2lzl.jpg,ここのスタバも潰れてる…,0,../bokete/train/iemctq2lzl.jpg,0,0.22128384,-0.62526286
y7ksjdebo,pnqpnhuyrq.jpg,この道に出てくるんだぁ,1,../bokete/train/pnqpnhuyrq.jpg,0,0.11878761,-0.23464605
zpwapvib8,fg3byi7kfm.jpg,ほんとにモザイク消えるの？,0,../bokete/train/fg3byi7kfm.jpg,0,0.12907282,-0.4079248
mvn38aeai,fywvr01vhq.jpg,みんな、今日は徹夜になりそうだけど、いいか？　おーい、聞いてるか？,0,../bokete/train/fywvr01vhq.jpg,0,0.1285437,-0.33601436
lqnec0uzr,x3zndcbnta.jpg,先輩に「抑揚をつけて話すといいと思います」といった次の日、話の途中でよく「YO」を挟んでくる,1,../bokete/train/x3zndcbnta.jpg,0,-0.6510082,0.8518406
ukj0j1o3p,9mw0rodxlc.jpg,こうして心臓にエネルギーを溜める事で究極奥義「マジン・ザ・ハンド」が出るのですのよ奥様,0,../bokete/train/9mw0rodxlc.jpg,0,0.032997925,-0.12927392
0d9t2tm5d,0yyvbt3bdp.jpg,休み時間が終わるチャイムが鳴った,1,../bokete/train/0yyvbt3bdp.jpg,0,-0.2438669,0.2192679
duplu8nlr,m2rdjjcfqq.jpg,最近できたのに関暁夫がすげー誤解をふっかけてくる。,0,../bokete/train/m2rdjjcfqq.jpg,0,-0.20534557,0.070301875
tyjyc7oio,hlv46tl8xa.jpg,面接開始からずっとタメ口をきかれている,1,../bokete/train/hlv46tl8xa.jpg,0,-0.020462215,-0.059853308
1mhsxzfkb,xkqbuqa8ao.jpg,モブが主役のスピンオフ,0,../bokete/train/xkqbuqa8ao.jpg,0,-0.10457871,-0.24986184
mdwe3pngy,pkrpeq2ijo.jpg,17000…19000…21000... バカな……!! まだ戦闘力が上がってるだと……!!,1,../bokete/train/pkrpeq2ijo.jpg,0,-0.09978971,0.12907073
esmlignmy,ziumj48t82.jpg,"いやいや、カレーつまみ食いしただけじゃん、それ降ろせよ。
いや降ろせよ！！",0,../bokete/train/ziumj48t82.jpg,0,0.09785749,-0.26900256
qpeoysria,ghrnxwzcam.jpg,じじいがかれこれ２時間停止したままなので、そろそろ頭ぺチーンいったろうかと思う,0,../bokete/train/ghrnxwzcam.jpg,0,-0.042861283,0.13191569
hzh3cy5fb,ufszn56se8.jpg,幼少期からマーキングを教え、縄張りの概念を叩き込む,0,../bokete/train/ufszn56se8.jpg,0,-0.06332818,0.058268756
hfzdskunk,zkfznt6ppn.jpg,カロリーメイトの化石,1,../bokete/train/zkfznt6ppn.jpg,0,0.16236658,-0.40663633
bak2cplbk,f1uswlbnqi.jpg,右「ゆかり、妻としてたまには家族のために晩御飯をウッ！」左「大丈夫？パパ」,0,../bokete/train/f1uswlbnqi.jpg,0,-0.20382679,0.30365524
lxb2kq3w1,rtzugdglq4.jpg,テレビでよく聞く「イヤ〜ン❤️」や「ウァ〜オ❤️」の声の人,1,../bokete/train/rtzugdglq4.jpg,0,-0.10077373,0.20167452
qaihnqkq0,discd79gth.jpg,あれ？この家 僕ひとりしか住んでいないはず。。。あぁ お盆か,1,../bokete/train/discd79gth.jpg,0,0.0614749,-0.20662805
ydhvfbwhd,k87ncedtdt.jpg,「まさか、隊長の家に招かれるとはな…」『何か黒い煙が見えます！』「隊長の奥さんが料理を始めたんだ…」,1,../bokete/train/k87ncedtdt.jpg,0,-0.45509937,0.55153096
yacjnasrx,eylq1ob4ov.jpg,昨日取材した原始部族民に街で遭遇,0,../bokete/train/eylq1ob4ov.jpg,0,-0.36062753,0.39703235
jbd2cgw60,wo6jejbtfw.jpg,クールポコ記念館,1,../bokete/train/wo6jejbtfw.jpg,0,0.1489154,-0.25463882
dir0ltl9a,eix619eati.jpg,「舌伸ばし新記録に挑戦します」,0,../bokete/train/eix619eati.jpg,0,0.16318464,-0.31144506
xcev2lg0e,i5afkeznmp.jpg,合コンをセッティングしたジョージだが肝心の女性をセッティングし忘れてた,1,../bokete/train/i5afkeznmp.jpg,0,-0.46956915,0.4065921
gr9ys8gs9,gh1sqwzjg5.jpg,突然｢チャーン｣と聞こえたのでとりあえず｢バブー｣,0,../bokete/train/gh1sqwzjg5.jpg,0,-0.02568138,0.015886836
sxqattrbk,rramhnxgau.jpg,ジュース缶製造工場のパート初日に、アルミの溶解炉に一瞬落ちてすぐに上がった母が午前中で早退して来た,1,../bokete/train/rramhnxgau.jpg,0,-0.6771473,0.8588199
kpxpksopq,50xw0lffcv.jpg,お前ら！かっこつけてないで手を使え！！,1,../bokete/train/50xw0lffcv.jpg,0,0.16531336,-0.38759583
fbn9xjcnr,ryzdpoeidu.jpg,古代テトリスの化石,1,../bokete/train/ryzdpoeidu.jpg,0,0.1744931,-0.48012617
o0xo446np,3kj8iyjfdf.jpg,じいちゃんの徘徊先が毎回インスタ映えする,1,../bokete/train/3kj8iyjfdf.jpg,0,-0.4324594,0.4515422
edn4u8xo5,vdxqhqngue.jpg,吉田沙保里に挑んだ食パンマンが帰ってきた。,0,../bokete/train/vdxqhqngue.jpg,0,-0.27114838,0.17031512
ullhjbi0c,sqfgmohqhc.jpg,看板娘,0,../bokete/train/sqfgmohqhc.jpg,0,0.13584733,-0.4842872
s90nwxo8v,tbtgerwguw.jpg,お…俺の遺伝子構造なんか他人と違うんだが,0,../bokete/train/tbtgerwguw.jpg,0,0.15433273,-0.21329847
hptuwis6e,jadvgxhxhc.jpg,操作するなよ？操作するなよ？と本気で言われてるのに、そのノリっすね！！と操作しかける新人,0,../bokete/train/jadvgxhxhc.jpg,0,0.017959788,-0.1359247
dunukqyn6,rvc2awsbxl.jpg,かみさんを怒らせて2日目「そろそろ縄をほどいてもらえませんか？」なんてなかなか言えない 旦那目線,0,../bokete/train/rvc2awsbxl.jpg,0,-0.47762287,0.4862542
z3j7trkw5,hulkxe3tbs.jpg,夜中にトイレ行く時めっちゃ重装備なたかし君,0,../bokete/train/hulkxe3tbs.jpg,0,0.05398253,-0.29554996
pikogctgx,e3jze5wael.jpg,「僕たち」「私たちは(裏声)」『出撃します』,1,../bokete/train/e3jze5wael.jpg,0,-0.18450719,0.24723801
dd9e11ojd,gwwlx7oxbu.jpg,その昔思春期の男の子が一人でスッキリしに来てた場所,0,../bokete/train/gwwlx7oxbu.jpg,0,-0.34161374,0.32432482
d1fhnrqzv,bebjjjtivo.jpg,テツandトモの縮小図,1,../bokete/train/bebjjjtivo.jpg,0,0.17726609,-0.3580856
r8v81vb7y,ojbtuwdm62.jpg,「なぁ、俺の眼鏡知らないか？」／「奇遇だな、俺も今サングラスを探してるんだ」,0,../bokete/train/ojbtuwdm62.jpg,0,-0.13695802,0.17565227
hvoxtfu0h,hsmtoqisjl.jpg,デカルチャー！,0,../bokete/train/hsmtoqisjl.jpg,0,0.22182086,-0.4217916
lp9ncwzax,uxequylpd7.jpg,あの・・・すいません・・・観光もいいんですけど、助けてくれませんか？,0,../bokete/train/uxequylpd7.jpg,0,0.046798773,-0.2563642
yx0rkrcmq,yipbgmfaju.jpg,「お前　つえーな」「おまえもな」,0,../bokete/train/yipbgmfaju.jpg,0,0.08540406,-0.17305088
bjrllljw1,vi7wuurymt.jpg,中身はOMEGAだと言い張る,0,../bokete/train/vi7wuurymt.jpg,0,0.18253708,-0.46617654
sbt6agkhv,rmirxb7c8s.jpg,すみません、プロジェクターが近過ぎて見づらいので2km程下がってもよろしいでしょうか？,1,../bokete/train/rmirxb7c8s.jpg,0,-0.120170616,0.10891366
5hlwihgzy,gvm15vafsh.jpg,サッカーボールが3ミリ,1,../bokete/train/gvm15vafsh.jpg,0,0.04459491,-0.37835768
aef9s3u1h,dydukuucfr.jpg,扉のカギを閉め忘れたまま、大量の揖保乃糸を乗せたトラックが走ってしまった,0,../bokete/train/dydukuucfr.jpg,0,-0.49956045,0.51943666
21vqfxfl5,drcw9hn3cx.jpg,ぴょん吉がシャツにくっついた！,0,../bokete/train/drcw9hn3cx.jpg,0,0.17906503,-0.4316919
noxvu2phf,7u74ulokjy.jpg,日曜の朝、NHKで老夫婦が趣味のコンテンポラリーダンスを披露,0,../bokete/train/7u74ulokjy.jpg,0,-0.03754438,0.15083402
9jz4wnjk4,fmwegjmqaz.jpg,どこに監禁されているかわからないので、手当たり次第に「待たせたなお前ら！」を連発する,1,../bokete/train/fmwegjmqaz.jpg,0,-0.6298997,0.7522071
ciazpxvqu,wyupymikyv.jpg,「誰かたすけて！」とは言ったけど、思ってたより「誰か」が来たので安心した。,0,../bokete/train/wyupymikyv.jpg,0,-0.4090349,0.42188245
wbijxuptf,7pe7uds2vj.jpg,「夜のお母さん」で提出した課題が高評価を得るもクッソ怒られる,1,../bokete/train/7pe7uds2vj.jpg,0,-0.40208626,0.5877679
rsqexmgib,mvoaxbomf3.jpg,ここにねこうやって描くと町歩いてても声掛けられないのよ、あたしいつもこうやってるのよ、これで貴方もナンパされないわよ。,0,../bokete/train/mvoaxbomf3.jpg,0,-0.2538123,0.32161924
dj0vwmcsg,mnqdaf12om.jpg,某国にプーさんを連れて行った結果,0,../bokete/train/mnqdaf12om.jpg,0,-0.040285654,-0.11937642
5a51swvgz,eyp2fdyjlr.jpg,すけきよ,0,../bokete/train/eyp2fdyjlr.jpg,0,0.16111892,-0.4137048
rsrwzjstw,qspvabzqxz.jpg,上っていくと？下る階段？あ！新手のSASUKEか！,0,../bokete/train/qspvabzqxz.jpg,0,0.08331855,-0.105602235
cytytodfv,lynedrtbaz.jpg,レアガチャでどんだけ課金しても魔剣士しか当たらない,1,../bokete/train/lynedrtbaz.jpg,0,-0.29833704,0.14612722
knh8glt5g,lngecnhbrd.jpg,ゆうべは飲み過g…ｵﾛﾛﾛﾛ,0,../bokete/train/lngecnhbrd.jpg,0,0.16868621,-0.17060012
50hz7lx7z,9shsdz0jpd.jpg,移動式カプセルホテル一泊8000円だよ。乗るかい？,0,../bokete/train/9shsdz0jpd.jpg,0,0.05978554,-0.310367
mrtbkpk8e,mojahejali.jpg,現地ガイドの案内について行けない所がある,1,../bokete/train/mojahejali.jpg,0,-0.21468607,0.009190813
q5wb6nzlz,n3em6o3yaq.jpg,呑めば呑むほど強くなる,0,../bokete/train/n3em6o3yaq.jpg,0,0.11983902,-0.11405737
ji4hin90m,bmlxfrao6y.jpg,いちご狩りという言葉を言うたび警戒の表情を見せてくる,1,../bokete/train/bmlxfrao6y.jpg,0,-0.25246826,0.35286966
0zvw60tgw,k0tqmwsbgp.jpg,フィニッシュは背負い投げ,0,../bokete/train/k0tqmwsbgp.jpg,0,0.21079811,-0.53028476
1kmlk9mfk,gpfsths32x.jpg,借り物競争で、「寝てる軍人」が出てしまった。,1,../bokete/train/gpfsths32x.jpg,0,-0.22911939,0.13993005
cf4pemgev,wxd2faebus.jpg,父さん会社行く気あるの？,0,../bokete/train/wxd2faebus.jpg,0,0.100558035,-0.2929814
h4lwxlrkj,9g0bzm1ybv.jpg,エレベーターアクション2018 (タイトー),0,../bokete/train/9g0bzm1ybv.jpg,0,0.14923027,-0.45981336
bl18ce5ym,o3cdaqwixw.jpg,車の中にチョコを放置していたら、愛が育まれていた,0,../bokete/train/o3cdaqwixw.jpg,0,-0.46664602,0.51172435
151vv2epu,eilywlgawr.jpg,パパが酔っ払いにボッコボコにされる瞬間を、圧倒的芸術センスで爽やかに描きあげたタカシ君の絵日記。,1,../bokete/train/eilywlgawr.jpg,0,-0.2729971,0.3763438
to2memxo2,ykfbitml3u.jpg,極東の同盟国がまた私をネタにしてるな。,0,../bokete/train/ykfbitml3u.jpg,0,0.024717811,-0.17799214
jwx1bflxa,8gnujtzgvv.jpg,立ちションで小さな世界を次々と壊していくのがやめられない,0,../bokete/train/8gnujtzgvv.jpg,0,-0.21521235,0.32844254
jhcmgvgyi,if8ecfen0n.jpg,オシッコをかけてた芳香剤の玉が突然割れて中から太郎的なヤツが出てきたが、「甘っ！」と叫んで即絶命した,1,../bokete/train/if8ecfen0n.jpg,0,-0.69758534,0.756469
nmlwlmdpi,jbkwybqdr9.jpg,ピアノのふたが急に閉まった,1,../bokete/train/jbkwybqdr9.jpg,0,-0.23900464,0.20534742
pctby0jjs,revm1sejal.jpg,わたくし、こういう者です。,0,../bokete/train/revm1sejal.jpg,0,0.13675942,-0.25702262
o73mlrkmj,wnnozomef1.jpg,赤ちゃんを作らない為の道具なのに「今度産む」って名前なの？大人って矛盾の塊～！！,1,../bokete/train/wnnozomef1.jpg,0,-0.030576289,-0.012020454
of7cfsnwp,vcaipzusrp.jpg,商談相手の顔を見てると無性に「前世はダンゴムシですか？」と言いたくなるが、ギリギリ抑える。,0,../bokete/train/vcaipzusrp.jpg,0,-0.52299696,0.4879204
stuyo5una,9eyw0eoc17.jpg,ここにタモさん居ると思う者挙手,1,../bokete/train/9eyw0eoc17.jpg,0,0.119116835,-0.333759
avmsfwkem,kp7xklxqrl.jpg,ようやく静かになりましたね。先生、もう少しで術を使うところでした,1,../bokete/train/kp7xklxqrl.jpg,0,-0.08927379,0.049955375
koazdcrk0,ligweuo3ni.jpg,毎日違う罠に引っかかって学校に来る。,0,../bokete/train/ligweuo3ni.jpg,0,-0.21630508,-0.049531676
tmga3ltli,jjuvczg907.jpg,この状態でもはいれる保険があるんですか,0,../bokete/train/jjuvczg907.jpg,0,0.019171562,-0.20232579
ngxv0br2q,znopgnim5e.jpg,向かいから来た人が同じ方向に避ける事3分,1,../bokete/train/znopgnim5e.jpg,0,-0.04444135,0.050322663
jkvvtonp0,gbnhqyrqx5.jpg,私は肩から                      私は喉から,1,../bokete/train/gbnhqyrqx5.jpg,0,0.17098549,-0.40692955
yimp3aauv,nxlmvqscwo.jpg,しゃっくり100回したら本気で   臨終すると信じてる奴が               98回目をしたときの顔,1,../bokete/train/nxlmvqscwo.jpg,0,-0.2997614,0.25412282
bu9zfmlak,hvaa00whau.jpg,これは？メイの？メイの？,1,../bokete/train/hvaa00whau.jpg,0,0.17787215,-0.44199514
luzfh7pl8,sr3daf217l.jpg,帰りの会を絶対終わらせないジョニー,1,../bokete/train/sr3daf217l.jpg,0,-0.045635194,-0.2694155
0hmw1xzrw,qp5xlk6fdx.jpg,テンガ開発室,0,../bokete/train/qp5xlk6fdx.jpg,0,0.16241467,-0.49453542
pps80gxsn,akl0zvgken.jpg,嫌いな上司の葬儀,1,../bokete/train/akl0zvgken.jpg,0,0.09974746,-0.25435445
vbbkjzxlj,cjlkxb2ryj.jpg,これこれ、亀をいじめるのはやめなさい。10000ペリカあげるからその亀を譲ってくれないか？,0,../bokete/train/cjlkxb2ryj.jpg,0,-0.01790478,0.04617771
cnggaai2u,g4mpwnocf8.jpg,ターゲットが見ていた笑点が面白かったので、小遊三が滑るまで首の骨を折るのを待つ凄腕のヒットマン,1,../bokete/train/g4mpwnocf8.jpg,0,-0.38432422,0.5424339
